名称,,名称のルビ,郵便番号,カテゴリ,住所,緯度,経度,電話番号,説明文,営業時間,定休日,URL,バリアフリー対応,wikidata-link
香りの家オランダ館(旧ヴォルヒン邸、伝統的建造物),,,'6500002,'2401,神戸市中央区北野町2-15-10,34.702201,135.190651,078-261-3330,北野のオランダ坂を登ると、1920年代のノスタルジックな雰囲気のオランダ館が見えてきます。オランダ館は大正中期の寄棟造り。(神戸市教育委員会指定No.48伝統的保存建造物)長い間オランダ総領事邸として使用され、1987年1月より一般公開されました。オランダのヴォーレンダム地方の民族衣装を着て記念撮影も出来ます。また、年齢や星座、好きな音楽・花・果物などのデータからあなたの個性にあったオリジナル香水が作れるので思い出づくりにぜひ訪れてください。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
デンマーク館(旧ヨハン・フラウベルト邸),,,'6500002,'2401,神戸市中央区北野町2-15-12,34.702354,135.190549,078-261-3591,バイキング、アンデルセンなどのデンマークの歴史と文化を紹介するミュージアムとして、デンマーク王国大使館、デンマーク通商事務所の後援を受けオープンしたテーマ館。8～11世紀にスカンジナビア周辺から世界の海を巡ったバイキング船の大きな模型が展示されていたり、世界的童話作家アンデルセンの書斎が再現されていたり、見どころもたっぷり。メイドinデンマークのかわいいグッズはお土産におすすめです。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
ウィーン・オーストリアの家(旧W.クンツェ邸),,,'6500002,'2401,神戸市中央区北野町2-15-18,34.702409,135.190794,078-261-3466,平成4年、オーストリア大使館、オーストリア通商代表部の後援で、オーストリアの文化や歴史に触れられるミュージアムとして開設。ウィーンの博物館風といわれる円筒形の建物に、女帝マリア・テレジアの肖像やロココ調の衣装などを展示し、宮廷文化の様子がしのばれます。また、オーストリアが生んだ偉大な音楽家モーツアルトを紹介し、彼が生きた18世紀の生活や風景を再現。作曲に使われたピアノの複製品(フォルテ・ピアノ)、直筆の楽譜や手紙など、ザルツブルグのモーツアルトミュージアムから寄贈された品々もみどころです。,9:00～18:00 / 【冬季営業期間】1月～2月 10:00～17:00,なし,http://www.orandakan.shop-site.jp/,なし,
竹中大工道具館,,たけなかだいくどうぐかん,'6510056,'2401,神戸市中央区熊内町7-5-1,34.706863,135.197532,078-242-0216,竹中大工道具館は日本で唯一の大工道具の専門博物館です。「人と自然をつなぐ、伝統と革新をつなぐ」をテーマに、2014年10月、新神戸駅前への移転、オープンしました。これまで収集した3万点余りの中から選りすぐった約1千点の大工道具のほか、吹き抜け空間に7メートルを超える高さでそびえたつ原寸大の唐招提寺金堂の柱と組み物、数寄屋の繊細な仕事が見えるスケルトン茶室など、現代の匠たちの手によって最高の職人技を詰め込んだ特別な模型を展示しています。また、「宮大工がいる博物館」というユニークな特色を生かし、新たに設けた木工室ではプロの技を間近に体感できるプログラムもご用意しています。,火～日　9:30～16:30（入館は16:00まで）,月(祝日の場合は翌日),http://dougukan.jp,,
風見鶏の館,,かざみどりのやかた,'6500002,'2401,神戸市中央区北野町3-13-3,34.701396,135.189475,078-242-3223,風見鶏の館(旧トーマス住宅)は、明治42年(1909年)頃にドイツ人貿易商ゴッドフリート・トーマス氏の自邸として建てられました。建物の設計に当ったのは、ドイツ人の建築家ゲオルグ・デ・ラランデ。レンガの外壁と尖塔の風見鶏は、北野異人館のシンボルとして人々に愛されています。昭和58年12月より昭和60年3月にかけて本格的な保存修理を行い、復原できる箇所は可能な限り元の姿に戻しています。現在は国の重要文化財に指定されています。,9:00～18:00（入館は17:45まで）,6月・2月の第1火(祝日の場合は翌日休),http://www.kobe-kazamidori.com/kazamidori/,,
ラインの館 ※工事のため休館中,,,'6500002,'2401,神戸市中央区北野町2-10-24,34.701126,135.191206,078-222-3403,大正4年(1915年)に建築されたラインの館。木造2階建下見板張りオイルペンキ塗りの建物は、開放されたベランダやベイ・ウィンドなど、明治時代のいわゆる異人館の様式をそのまま受け継いでいます。昭和53年の一般公開の際に愛称を公募した結果「ラインの館」となりました。1階に休憩室・展示室・土産物コーナーを設置し、2階では北野異人館街の歴史や震災関係の展示を行っています。,9:00～18:00,メンテナンスのため休館中です。H.284.1～全面休館。工事期間はH28～H30年を予定しております。,,,
うろこの家・うろこ美術館,,,'6500002,'2401,神戸市中央区北野町2-20-4,34.702959,135.190666,0120-888-581,神戸で最初に公開された神戸のシンボル的な異人館。外国人の高級借家で、外壁を飾る天然石のスレートが魚の鱗に見えることから「うろこの家」と呼ばれています。館内の随所にも意匠が凝らされ、重厚なアンティーク家具や調度品、古マイセンをはじめとする西洋の名磁器コレクションは必見。 また「うろこ美術館」では、ユトリロ、マチス等、自然主義から現在に至る西洋名画コレクションや、神戸を代表する安井賞作家・堀江優画伯の作品を常設展示。3階展望室からは神戸の街と港が一望できます。,4月～9月　9:30～18:00 / 10～3月 9:30～17:00,年中無休,http://kobe-ijinkan.net/,なし,http://www.wikidata.org/entity/Q11263124
異人館 パラスティン邸,,,'6500002,'2401,神戸市中央区北野町2-10-12,34.700932,135.190592,078-241-1132,ロシア人貿易商が居住していた異人館パラスティン邸は、大正初期に建てられた伝統的建造物です。テラス・館内共にペット同伴可能なことが口コミで広がり、今では全国各地から愛犬連れのお客様が訪れています。 ホームメイドケーキ、白パンサンドイッチ、仔牛の赤ワイン煮の他、シチューランチや復刻メニューなどのお食事メニューも充実。おいしいグルメを満喫しながら、異人館でのノスタルジックなひとときをお楽しみください。,11:00～18:00,火(祝日の場合は翌日),http://www.ijinkan.net/,なし,
萌黄の館,,もえぎのやかた,'6520002,'2401,神戸市中央区北野町3-10-11,34.700979,135.189256,078-222-3310,萌黄の館は、明治36年(1903)にアメリカ総領事の邸宅として建築され、昭和55年(1980)に国の重要文化財に指定されました。木造2階建て、下見板張りの異人館で、2つの異なった形のベイ・ウィンドー(張り出し窓)が特徴です。アラベスク風模様が施された階段・重厚なマントルピースなど贅沢な意匠が随所にみられ、2階のベランダからは神戸港まで見渡せる素晴らしい眺望が広がっています。<br><br>◆障がい者の方（下記の手帳をお持ちください）<br>　①身体障害者手帳、精神障害者保健福祉手帳、療育手帳、特定疾患医療受給者証、先天性血液凝固因子障害医療受給者証、小児慢性特定疾患承認書をお持ちの方：無料<br>　②身体障害者手帳(1級又は2級)、精神障害者保健福祉手帳(1級)、療育手帳をお持ちの方の介護人（原則1名)：無料<br><br>◆【すこやかカード】（神戸市老人福祉手帳）をお持ちの方：無料<br><br>◆シティー・ループ１日乗車券持参の方：280円,9:00～18:00,２月の第３水曜日・第３木曜日,http://www.city.kobe.lg.jp/culture/culture/institution/foreigner/sub3.html,,
山手八番館,,,'6500002,'2401,神戸市中央区北野町2-20-7,34.702787,135.190621,0120-888-581,山手八番館は、チューダー様式の三連式塔屋が特徴的の明治後期の異人館です。ピカソに影響を与えたアフリカのマコンデ彫刻、ロダン・ブールデル等の近代彫刻、レンブラントらの古典版画は見もの。他にも入口のステンドグラスや、願いが叶うといわれる“サターンの椅子”など、見どころの多い人気の館です。ぜひ一度訪れてみてください。,4月～9月　9:30～18:00 / 10～3月　9:30～17:00,年中無休,http://kobe-ijinkan.net,なし,http://www.wikidata.org/entity/Q11468702
